Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
1224000	-8.076181	375	2.803863	2.803863	0.046507	0.953493	0.995808	0.004192	
1225000	-8.296699	215	2.979662	2.979662	0.097319	0.902681	0.970818	0.029182	
1226000	-8.204893	99	3.671107	3.671107	0.123199	0.876801	0.849666	0.150334	
1227000	-7.854651	317	5.308914	5.308914	0.222227	0.777773	0.951168	0.048832	
1228000	-7.633985	316	5.057493	5.057493	0.131441	0.868559	0.986199	0.013801	
1229000	-9.950786	474	1.144772	1.144772	0.015520	0.984480	0.998611	0.001389	
1230000	-7.459991	135	2.866223	2.866223	0.108608	0.891392	0.991427	0.008573	
1231000	-8.253256	330	3.182908	3.182908	0.110254	0.889746	0.683630	0.316370	
1232000	-7.636993	93	3.115386	3.115386	0.067787	0.932213	0.904992	0.095008	
1233000	-7.922270	64	3.820994	3.820994	0.088873	0.911127	0.974343	0.025657	
1234000	-8.116723	203	2.271886	2.271886	0.047518	0.952482	0.999358	0.000642	
1235000	-7.223590	428	2.951041	2.951041	0.049796	0.950204	0.994071	0.005929	
1236000	-8.359332	174	2.765210	2.765210	0.060624	0.939376	0.815301	0.184699	
1237000	-8.669577	154	2.500659	2.500659	0.062740	0.937260	0.996755	0.003245	
1238000	-9.295538	300	1.101514	1.101514	0.017537	0.982463	0.846864	0.153136	
1239000	-7.669012	189	2.453210	2.453210	0.079766	0.920234	0.993262	0.006738	
1240000	-8.742250	90	2.606165	2.606165	0.057440	0.942560	0.980509	0.019491	
1241000	-8.645365	500	1.482801	1.482801	0.012847	0.987153	0.999752	0.000248	
1242000	-7.836368	170	3.820436	3.820436	0.104832	0.895168	0.980645	0.019355	
1243000	-8.268560	82	1.480968	1.480968	0.024266	0.975734	0.868510	0.131490	
1244000	-7.711500	421	3.082402	3.082402	0.084782	0.915218	0.986903	0.013097	
1245000	-9.550202	179	1.715541	1.715541	0.027248	0.972752	0.982554	0.017446	
